"","MSOA11CD.row","tuesday.12pm15","tuesday.12pm30","tuesday.12pm45","tuesday.12pm60","tuesday.12pm75","tuesday.12pm90"
"1274",244,NA,NA,2,6,8,17
"1278",245,NA,1,4,10,18,34
"1283",246,NA,1,2,7,13,21
"1287",247,NA,1,3,7,15,20
"1291",248,NA,NA,1,3,9,15
"1296",249,NA,1,6,12,18,30
"1305",250,NA,1,1,5,8,18
"1313",251,NA,NA,2,3,10,15
"1316",252,1,1,3,9,14,21
"1322",253,1,1,3,6,15,18
"1331",254,NA,1,5,9,19,24
"1338",255,NA,1,4,8,16,23
"1347",256,NA,1,1,1,3,3
"1358",257,NA,1,3,4,14,20
"1369",258,NA,NA,2,4,4,5
"1375",259,NA,NA,4,9,17,24
"1381",260,NA,2,3,12,18,27
"1388",261,NA,NA,2,4,6,16
"1396",262,NA,2,5,13,24,32
"1398",263,1,1,3,7,19,22
"1401",264,NA,1,1,3,12,15
"1406",265,NA,1,3,10,16,22
"1408",266,NA,3,3,9,23,25
"1409",267,1,2,3,11,20,26
"1410",268,NA,2,3,14,24,30
"1414",269,NA,2,3,11,20,24
"1418",270,NA,2,3,11,19,25
"1427",271,NA,1,3,4,7,13
"1436",272,NA,NA,2,4,7,13
"1443",273,NA,2,4,12,23,27
"1454",274,NA,NA,1,4,6,8
"1464",275,NA,NA,1,2,5,6
"1474",276,NA,NA,NA,4,5,6
"1484",277,NA,NA,NA,NA,NA,1
"1495",278,NA,1,1,1,4,7
"1504",279,NA,1,1,3,6,9
"1509",280,NA,NA,1,2,5,7
"1516",281,1,1,1,1,4,10
"1524",282,NA,1,1,1,4,7
"1530",283,1,1,1,2,4,12
"1533",284,NA,NA,NA,NA,5,11
"1539",285,NA,1,2,2,7,13
"1542",286,1,1,1,3,11,15
"1552",287,NA,NA,1,2,3,6
"1563",288,1,1,1,2,5,11
"1574",289,NA,1,1,3,9,15
"1586",290,1,1,1,2,4,7
"1597",291,NA,NA,1,2,5,8
"1608",292,NA,1,2,4,12,15
"1618",293,NA,1,1,5,10,19
"1625",294,1,1,1,3,6,14
"1635",295,NA,1,1,5,9,15
"1646",296,NA,1,2,4,11,15
"1657",297,NA,1,1,3,8,13
"1667",298,NA,NA,1,2,3,5
"1678",299,NA,1,1,3,8,10
"1685",300,NA,1,2,4,8,12
"1695",301,NA,NA,3,6,13,19
"1699",302,NA,1,2,6,13,16
"1708",303,NA,NA,2,9,14,17
"1718",304,NA,1,3,4,9,15
"1729",305,NA,NA,4,10,21,30
"1740",306,NA,1,2,6,13,17
"1751",307,NA,NA,4,7,14,21
"1755",308,NA,NA,4,6,13,20
"1757",309,NA,NA,3,5,8,15
"1769",310,NA,NA,2,5,11,14
"1780",311,NA,NA,2,5,7,12
"1789",312,NA,1,3,5,10,13
"1799",313,NA,1,4,10,15,19
"1800",314,NA,1,5,9,14,19
"1801",315,NA,1,5,6,11,17
"1806",316,NA,1,5,6,11,18
"1816",317,NA,NA,2,5,8,12
"1826",318,NA,1,4,6,11,16
"1837",319,NA,1,5,7,12,20
"1849",320,NA,1,5,9,14,21
"1860",321,NA,1,3,9,13,20
"1869",322,1,1,3,6,13,17
"1879",323,NA,1,3,9,12,20
"1888",324,NA,1,2,5,8,9
"1899",325,1,1,4,7,12,16
"1906",326,NA,1,3,6,9,17
"1914",327,NA,1,3,9,13,17
"1919",328,NA,1,1,7,9,13
"1920",329,NA,NA,2,4,7,8
"1923",330,NA,1,2,8,16,21
"1929",332,NA,1,4,7,12,17
"1938",333,NA,NA,3,4,7,11
"1948",334,NA,NA,3,4,6,10
"1955",335,NA,NA,2,4,7,10
"1960",336,NA,NA,2,4,6,10
"1964",337,NA,NA,5,12,18,26
"1968",338,NA,1,5,15,20,29
"1979",339,NA,NA,3,9,14,18
"1988",340,NA,NA,3,11,18,24
"1997",341,NA,NA,4,9,18,24
"2005",342,NA,2,6,14,19,30
"2016",343,NA,1,4,10,17,23
"2026",344,NA,1,2,8,18,25
"2034",345,NA,NA,3,7,17,26
"2045",346,NA,NA,3,9,14,26
"2056",347,NA,1,3,11,19,27
"2067",348,NA,NA,NA,1,3,7
"2078",349,NA,1,2,7,15,24
"2088",350,NA,2,3,5,18,27
"2095",351,NA,1,3,9,16,28
"2102",352,NA,1,3,10,23,30
"2108",353,NA,2,3,8,15,26
"2115",354,NA,2,3,10,21,27
"2125",355,NA,1,4,8,22,30
"2135",356,NA,1,5,10,23,31
"2141",357,NA,2,6,10,22,27
"2148",358,NA,2,5,12,25,29
"2154",359,NA,NA,3,9,17,25
"2161",360,NA,NA,6,11,21,28
"2168",361,NA,1,6,13,26,33
"2176",362,NA,1,8,17,27,36
"2184",363,NA,NA,1,3,5,8
"2195",364,NA,1,5,12,18,25
"2199",365,NA,1,4,10,17,26
"2203",366,NA,2,7,15,25,35
"2205",367,NA,1,7,14,24,31
"2212",368,NA,1,5,13,21,29
"2217",369,NA,2,6,16,27,35
"2224",370,NA,2,5,15,22,31
"2229",371,NA,1,8,15,23,32
"2238",372,1,1,6,17,23,28
"2243",373,NA,2,9,16,26,33
"2253",374,1,2,9,19,27,34
"2261",375,1,2,10,22,28,35
"2269",376,NA,1,10,21,26,34
"2272",377,NA,1,7,16,24,31
"2274",378,NA,1,8,14,24,29
"2275",379,NA,1,7,15,23,31
"2277",380,NA,1,6,15,24,28
"2280",381,NA,1,6,13,24,29
"2284",382,NA,1,6,14,20,34
"2289",383,NA,2,8,16,26,32
"2293",384,NA,2,7,15,23,28
"2296",385,NA,1,5,10,20,28
"2298",386,NA,3,7,18,25,35
"2299",387,NA,NA,7,10,17,26
"2300",388,NA,NA,3,10,17,23
"2301",389,NA,NA,2,10,11,20
"2304",390,NA,1,4,9,16,23
"2305",391,NA,NA,4,7,13,19
"2307",392,NA,NA,4,6,14,20
"2308",393,NA,1,4,11,18,21
"2313",394,NA,1,5,10,17,21
"2317",395,NA,1,2,5,15,18
"2323",396,NA,1,3,10,17,23
"2326",397,NA,NA,2,10,17,24
"2334",398,NA,NA,2,12,15,24
"2336",399,NA,NA,1,10,14,20
"2346",400,NA,1,2,8,16,23
"2351",401,NA,NA,3,12,18,28
"2355",402,NA,1,5,13,19,23
"2357",403,NA,1,2,6,10,15
"2358",404,NA,NA,3,11,16,23
"2359",405,NA,NA,3,10,18,22
"2360",406,NA,1,2,8,16,20
"2361",407,1,1,2,7,16,20
"2363",408,1,1,2,7,17,19
"2368",409,NA,NA,4,11,18,23
"2371",410,NA,NA,5,13,17,26
"2372",411,NA,NA,NA,1,1,1
"2373",412,NA,1,9,15,22,34
"2376",413,NA,NA,3,11,15,23
"2378",414,NA,NA,4,10,16,23
"2384",415,NA,1,1,5,14,20
"2390",416,NA,NA,5,11,15,24
"2391",417,NA,1,3,7,16,21
"2393",418,NA,1,4,13,17,26
"2394",419,NA,NA,8,15,17,23
"2403",420,1,1,2,6,14,19
"2410",421,1,1,2,8,16,19
"2417",422,NA,1,4,9,18,24
"2426",423,NA,1,3,6,12,19
"2432",424,NA,NA,3,4,8,11
"2439",425,NA,1,3,8,10,22
"2443",426,NA,NA,2,2,8,14
"2453",428,NA,1,2,3,12,15
"2460",429,NA,1,2,2,7,8
"2466",430,NA,2,3,8,16,25
"2474",431,NA,1,2,5,12,17
"2479",432,NA,NA,2,3,4,7
"2484",433,NA,2,3,8,14,22
"2495",434,NA,1,1,3,13,18
"2504",435,NA,1,2,7,12,17
"2511",436,1,1,1,6,12,15
"2516",437,NA,1,2,5,6,12
"2526",438,NA,2,3,8,17,23
"2536",439,NA,2,2,7,12,21
"2544",440,NA,2,2,6,12,18
"2552",441,NA,1,1,3,9,13
"2559",442,NA,1,2,6,15,19
"2563",443,NA,NA,2,7,10,13
"2574",444,NA,1,2,6,13,18
"2584",445,NA,2,3,11,17,26
"2589",446,NA,1,2,9,16,23
"2594",447,NA,NA,3,5,12,21
"2600",448,NA,NA,1,6,8,15
"2608",449,NA,NA,2,5,6,10
"2614",450,NA,NA,2,6,13,21
"2617",451,NA,NA,2,7,11,16
"2618",452,NA,NA,1,2,5,6
"2619",453,NA,NA,1,3,3,6
"2620",454,NA,1,1,2,2,2
"2621",455,NA,1,1,3,5,6
"2622",456,NA,1,1,3,5,5
"2624",457,NA,1,1,2,3,4
"2627",458,NA,2,2,2,2,3
"2637",459,NA,1,3,3,5,6
"2645",460,NA,1,3,3,5,10
"2648",461,NA,NA,2,2,2,2
"2653",462,NA,1,3,3,5,8
"2660",463,NA,1,3,3,3,7
"2662",464,1,2,3,3,6,12
"2663",465,NA,1,3,3,6,8
"2666",466,NA,NA,2,2,2,2
"2676",467,1,2,3,3,6,9
"2683",468,1,2,3,3,3,7
"2688",469,NA,NA,2,6,10,11
"2694",471,NA,2,2,5,8,10
"2697",472,NA,2,2,6,9,13
"2700",473,NA,1,2,3,4,5
"2703",474,NA,2,2,6,12,20
"2710",475,NA,2,2,5,10,12
"2717",476,NA,NA,2,2,3,4
"2726",477,NA,2,2,6,9,11
"2733",478,NA,1,2,6,8,11
"2741",479,NA,1,2,5,8,9
"2751",480,NA,1,2,4,4,7
"2761",481,NA,1,1,2,2,3
"2770",482,NA,1,2,3,6,9
"2781",483,NA,NA,NA,1,3,7
"2790",484,NA,NA,2,3,10,14
"2800",485,NA,NA,NA,NA,NA,1
"2810",486,NA,NA,NA,2,8,11
"2820",487,NA,NA,2,9,14,20
"2830",488,NA,NA,1,2,5,6
"2837",489,NA,NA,2,5,11,16
"2839",490,NA,NA,NA,NA,3,4
"2841",491,NA,NA,1,6,10,17
"2846",492,NA,NA,NA,5,10,15
"2857",493,NA,NA,NA,3,8,11
"2861",494,NA,NA,NA,NA,1,2
"2867",495,NA,NA,1,4,8,14
"2877",496,NA,NA,NA,3,5,11
"2885",497,NA,NA,1,4,8,14
"2889",498,NA,1,1,2,5,9
"2892",499,NA,NA,1,3,10,14
"2897",500,NA,1,2,4,11,16
"2904",501,NA,1,1,2,6,10
"2906",502,NA,NA,1,3,8,12
"2913",503,NA,1,2,2,6,11
"2921",504,NA,1,1,2,7,10
"2928",505,NA,NA,1,1,6,9
"2937",506,NA,1,2,4,10,18
"2945",507,1,1,1,4,9,15
"2952",508,NA,1,1,2,6,12
"2959",509,NA,NA,1,2,7,8
"2965",510,NA,1,1,6,8,15
"2980",512,NA,NA,NA,2,2,2
"2986",513,NA,2,5,16,25,32
"2994",514,1,1,3,6,17,26
"3003",515,NA,NA,2,5,8,13
"3013",516,NA,1,1,4,5,6
"3016",517,NA,2,3,6,16,27
"3022",518,NA,NA,2,8,15,25
"3030",519,NA,NA,2,5,11,18
"3037",520,NA,1,1,4,9,13
"3047",521,NA,NA,2,6,7,12
"3055",522,NA,1,4,8,13,23
"3061",523,NA,1,4,11,21,27
"3069",524,NA,NA,2,6,10,17
"3075",525,NA,1,4,7,10,20
"3080",526,NA,1,4,8,15,23
"3085",527,NA,NA,2,6,12,16
"3089",528,NA,NA,3,7,13,19
"3091",529,NA,1,5,7,15,20
"3099",530,NA,2,3,7,11,15
"3100",531,NA,2,3,6,10,18
"3101",532,NA,NA,NA,3,3,8
"3102",533,NA,NA,2,5,7,13
"3103",534,NA,NA,NA,5,7,14
"3104",535,NA,NA,2,4,7,11
"3105",536,NA,NA,1,1,5,8
"3107",537,NA,1,2,6,9,14
"3110",538,NA,NA,1,3,5,8
"3112",539,NA,NA,1,2,6,8
"3117",540,NA,1,5,9,18,23
"3122",541,NA,1,6,11,19,29
"3130",542,NA,1,4,9,15,21
"3138",543,NA,3,6,16,25,32
"3146",544,NA,1,6,14,20,26
"3149",545,NA,2,6,15,22,31
"3154",546,NA,2,7,15,22,28
"3161",547,NA,NA,5,14,19,29
"3169",548,NA,2,6,14,22,29
"3172",549,NA,1,6,14,21,26
"3174",550,NA,2,9,18,28,36
"3175",551,NA,1,4,14,22,32
"3178",552,NA,2,6,14,24,34
"3181",553,1,2,4,17,22,34
"3189",554,NA,2,7,17,27,34
"3199",555,NA,2,4,16,21,33
"3206",556,NA,2,4,16,21,28
"3209",557,NA,2,5,16,21,31
"3211",558,NA,3,9,19,25,33
"3215",559,1,2,8,21,27,37
"3223",560,NA,3,9,19,27,37
"3226",561,NA,2,7,17,29,35
"3232",562,NA,2,9,20,29,37
"3235",563,NA,NA,5,14,20,28
"3236",564,NA,NA,4,10,17,27
"3240",565,NA,1,6,14,20,28
"3243",566,NA,2,9,15,23,33
"3245",567,NA,1,7,14,21,27
"3246",568,NA,2,6,16,25,35
"3248",569,NA,2,6,15,24,32
"3251",570,NA,2,6,17,25,35
"3252",571,NA,1,5,15,23,28
"3254",572,1,2,8,19,26,33
"3256",573,NA,2,8,18,24,33
"3263",574,NA,2,8,18,26,35
"3266",575,NA,2,8,17,23,30
"3268",576,NA,2,8,18,25,33
"3270",577,NA,2,4,16,22,31
"3272",578,1,3,11,19,30,37
"3276",579,NA,2,7,16,25,30
"3278",580,NA,1,7,18,22,32
"3280",581,NA,2,7,15,24,32
"3288",582,NA,2,7,15,23,33
"3298",583,NA,2,5,11,22,31
"3302",584,NA,1,3,10,13,18
"3308",585,NA,1,5,6,7,8
"3315",586,1,1,5,11,14,22
"3319",587,NA,1,4,7,12,17
"3321",588,1,1,5,8,12,20
"3325",589,1,1,4,7,11,17
"3330",590,NA,1,5,7,12,16
"3338",591,NA,1,4,8,13,21
"3342",592,NA,2,3,7,13,16
"3344",593,NA,1,3,3,7,11
"3346",594,NA,2,3,5,11,14
"3347",595,NA,NA,4,7,10,12
"3350",596,1,1,2,6,9,19
"3351",597,NA,1,3,5,9,12
"3354",598,NA,NA,2,6,7,14
"3356",599,NA,NA,5,7,10,15
"3367",600,NA,1,3,4,8,12
"3373",601,NA,NA,1,6,8,14
"3378",602,NA,NA,2,4,6,12
"3383",603,NA,NA,2,4,6,11
"3392",604,NA,NA,1,3,4,7
"3399",605,1,2,8,16,27,34
"3405",606,NA,3,8,18,27,35
"3411",607,NA,4,8,18,28,36
"3418",608,NA,3,10,20,29,35
"3422",609,NA,2,7,19,25,32
"3425",610,NA,3,7,18,25,30
"3431",611,NA,3,6,18,21,28
"3438",612,NA,1,4,12,20,28
"3449",613,NA,4,13,20,33,37
"3453",614,NA,3,9,19,25,31
"3459",615,NA,2,6,18,22,33
"3467",616,1,1,8,15,24,32
"3471",617,NA,1,5,12,22,26
"3478",618,NA,2,9,21,25,33
"3485",619,NA,3,10,22,27,35
"3496",620,NA,1,10,20,25,34
"3505",621,NA,1,8,18,24,29
"3512",622,NA,1,7,19,23,31
"3520",623,NA,1,9,16,23,29
"3523",624,NA,1,8,17,23,29
"3529",625,NA,NA,7,17,25,29
"3538",626,NA,NA,4,14,20,24
"3544",627,NA,1,3,14,20,28
"3552",628,NA,1,3,12,18,21
"3558",629,NA,NA,7,16,22,28
"3562",630,NA,NA,2,10,15,22
"3564",631,NA,1,4,10,19,26
"3565",632,NA,NA,7,15,22,26
"3567",633,NA,NA,2,11,19,25
"3568",634,NA,1,4,11,15,23
"3571",635,NA,NA,7,15,23,27
"3572",636,NA,NA,3,10,13,22
"3573",637,NA,2,5,14,18,23
"3575",638,NA,NA,4,10,16,23
"3576",639,NA,NA,5,13,19,25
"3578",640,NA,NA,6,11,19,22
"3582",641,NA,NA,4,9,16,20
"3588",642,NA,1,3,9,19,26
"3596",643,NA,NA,5,7,16,25
"3602",644,NA,1,2,7,15,17
"3612",645,NA,1,3,11,14,25
"3618",646,NA,2,3,9,15,20
"3622",647,NA,1,2,6,11,21
"3629",648,NA,1,2,7,13,21
"3637",649,1,1,4,10,19,24
"3642",650,NA,1,3,5,14,18
"3646",651,NA,1,2,7,14,24
"3648",652,NA,1,3,8,14,24
"3653",653,NA,1,3,4,14,15
"3660",654,NA,1,2,4,10,18
"3667",655,NA,1,3,7,14,23
"3670",656,NA,1,3,8,13,20
"3679",657,NA,1,2,8,19,25
"3685",658,NA,1,3,6,10,18
"3692",659,NA,1,3,3,9,15
"3703",660,NA,1,4,8,11,18
"3712",661,NA,1,2,5,11,17
"3718",662,NA,2,2,3,7,11
"3719",663,NA,1,3,7,12,18
"3722",664,NA,NA,3,7,12,22
"3730",665,NA,1,2,5,8,16
"3740",666,NA,2,2,2,8,10
"3748",667,NA,1,3,3,6,14
"3757",668,NA,NA,3,7,11,18
"3761",669,NA,1,2,4,8,12
"3766",670,NA,1,4,6,12,20
"3772",671,NA,2,8,16,26,29
"3783",672,NA,1,4,7,10,10
"3788",673,1,3,4,12,22,24
"3797",674,NA,2,5,13,17,24
"3806",675,NA,3,7,19,25,34
"3816",676,NA,3,7,14,22,28
"3824",677,NA,2,6,13,20,27
"3833",678,NA,NA,5,6,16,19
"3844",679,1,1,8,19,23,28
"3848",680,NA,2,5,8,15,21
"3849",681,NA,1,5,14,20,21
"3850",682,NA,1,6,16,21,25
"3851",683,NA,2,6,10,20,26
"3852",684,NA,NA,6,8,13,22
"3853",685,NA,1,3,7,10,14
"3854",686,NA,2,5,11,20,24
"3855",687,NA,1,5,10,16,24
"3856",688,NA,1,5,8,20,24
"3857",689,NA,1,4,7,12,19
"3859",690,NA,NA,4,7,9,21
"3860",691,NA,NA,3,7,17,22
"3861",692,NA,1,6,10,13,17
"3862",693,NA,1,2,7,16,23
"3863",694,NA,2,5,13,21,25
"3864",695,NA,2,5,12,20,25
"3865",696,NA,NA,2,6,13,21
"3866",697,NA,2,3,10,15,25
"3867",698,NA,NA,5,7,14,23
"3868",699,NA,NA,4,11,14,23
"3871",700,NA,2,5,10,18,25
"3872",701,NA,NA,3,7,11,17
"3873",702,NA,2,3,10,14,22
"3874",703,NA,2,4,11,15,23
"3875",704,NA,3,4,9,15,25
"3876",705,NA,2,4,12,14,21
"3877",706,NA,3,6,12,21,28
"3878",707,NA,NA,4,11,17,22
"3879",708,2,2,6,12,19,26
"3880",709,2,2,7,12,21,26
"3882",710,NA,NA,4,10,19,25
"3883",711,NA,NA,2,6,9,10
"3884",712,NA,3,4,9,13,21
"3885",713,NA,2,4,11,17,24
"3886",714,NA,NA,5,12,18,24
"3887",715,NA,NA,4,11,17,22
"3888",716,NA,3,7,11,21,26
"3889",717,NA,3,5,10,20,26
"3890",718,NA,3,4,11,19,24
"3891",719,NA,NA,1,6,8,16
"3893",720,NA,1,2,10,14,22
"3894",721,NA,1,4,10,16,23
